	code	name	HY_CODE	HY_NAME
244	002428.XSHE	云南锗业	HY002	材料
245	002440.XSHE	闰土股份	HY002	材料
246	002442.XSHE	龙星化工	HY002	材料
247	002443.XSHE	金洲管道	HY002	材料
248	002450.XSHE	康得新	HY002	材料
249	002455.XSHE	百川股份	HY002	材料
250	002457.XSHE	青龙管业	HY002	材料
251	002460.XSHE	赣锋锂业	HY002	材料
252	002466.XSHE	天齐锂业	HY002	材料
253	002470.XSHE	金正大	HY002	材料
254	002476.XSHE	宝莫股份	HY002	材料
255	002478.XSHE	常宝股份	HY002	材料
256	002493.XSHE	荣盛石化	HY002	材料
257	002496.XSHE	ST辉丰	HY002	材料
258	002497.XSHE	雅化集团	HY002	材料
259	002501.XSHE	利源精制	HY002	材料
260	002513.XSHE	蓝丰生化	HY002	材料
261	002521.XSHE	齐峰新材	HY002	材料
262	002522.XSHE	浙江众成	HY002	材料
263	002529.XSHE	海源复材	HY002	材料
264	002538.XSHE	司尔特	HY002	材料
265	002539.XSHE	云图控股	HY002	材料
266	002540.XSHE	亚太科技	HY002	材料
267	002549.XSHE	凯美特气	HY002	材料
268	002556.XSHE	辉隆股份	HY002	材料
269	002562.XSHE	兄弟科技	HY002	材料
270	002565.XSHE	顺灏股份	HY002	材料
271	002578.XSHE	闽发铝业	HY002	材料
272	002584.XSHE	西陇科学	HY002	材料
273	002585.XSHE	双星新材	HY002	材料
274	002588.XSHE	史丹利	HY002	材料
275	002591.XSHE	恒大高新	HY002	材料
276	002593.XSHE	日上集团	HY002	材料
277	002596.XSHE	海南瑞泽	HY002	材料
278	002597.XSHE	金禾实业	HY002	材料
279	002601.XSHE	龙蟒佰利	HY002	材料
280	002631.XSHE	德尔未来	HY002	材料
281	002632.XSHE	道明光学	HY002	材料
282	002637.XSHE	赞宇科技	HY002	材料
283	002643.XSHE	万润股份	HY002	材料
284	002648.XSHE	卫星石化	HY002	材料
285	002666.XSHE	德联集团	HY002	材料
286	002669.XSHE	康达新材	HY002	材料
287	002671.XSHE	龙泉股份	HY002	材料
288	002676.XSHE	顺威股份	HY002	材料
289	002679.XSHE	福建金森	HY002	材料
290	002683.XSHE	宏大爆破	HY002	材料
291	002701.XSHE	奥瑞金	HY002	材料
292	002709.XSHE	天赐材料	HY002	材料
293	002716.XSHE	金贵银业	HY002	材料
294	002734.XSHE	利民股份	HY002	材料
295	002735.XSHE	王子新材	HY002	材料
296	002741.XSHE	光华科技	HY002	材料
297	002742.XSHE	三圣股份	HY002	材料
298	002748.XSHE	世龙实业	HY002	材料
299	002749.XSHE	国光股份	HY002	材料
300	002752.XSHE	昇兴股份	HY002	材料
301	002753.XSHE	永东股份	HY002	材料
302	002756.XSHE	永兴特钢	HY002	材料
303	002768.XSHE	国恩股份	HY002	材料
304	002783.XSHE	凯龙股份	HY002	材料
305	002785.XSHE	万里石	HY002	材料
306	002787.XSHE	华源控股	HY002	材料
307	002799.XSHE	环球印务	HY002	材料
308	002802.XSHE	洪汇新材	HY002	材料
309	002803.XSHE	吉宏股份	HY002	材料
310	002805.XSHE	丰元股份	HY002	材料
311	002806.XSHE	华锋股份	HY002	材料
312	002809.XSHE	红墙股份	HY002	材料
313	002810.XSHE	山东赫达	HY002	材料
314	002812.XSHE	创新股份	HY002	材料
315	002824.XSHE	和胜股份	HY002	材料
316	002825.XSHE	纳尔股份	HY002	材料
317	002827.XSHE	高争民爆	HY002	材料
318	002831.XSHE	裕同科技	HY002	材料
319	002838.XSHE	道恩股份	HY002	材料
320	002842.XSHE	翔鹭钨业	HY002	材料
321	002846.XSHE	英联股份	HY002	材料
322	002886.XSHE	沃特股份	HY002	材料
323	002895.XSHE	川恒股份	HY002	材料
324	002909.XSHE	集泰股份	HY002	材料
325	002915.XSHE	中欣氟材	HY002	材料
326	002917.XSHE	金奥博	HY002	材料
327	002918.XSHE	蒙娜丽莎	HY002	材料
328	300019.XSHE	硅宝科技	HY002	材料
329	300034.XSHE	钢研高纳	HY002	材料
330	300037.XSHE	新宙邦	HY002	材料
331	300041.XSHE	回天新材	HY002	材料
332	300054.XSHE	鼎龙股份	HY002	材料
333	300057.XSHE	万顺股份	HY002	材料
334	300064.XSHE	豫金刚石	HY002	材料
335	300067.XSHE	安诺其	HY002	材料
336	300073.XSHE	当升科技	HY002	材料
337	300082.XSHE	奥克股份	HY002	材料
338	300093.XSHE	金刚玻璃	HY002	材料
339	300107.XSHE	建新股份	HY002	材料
340	300109.XSHE	新开源	HY002	材料
341	300121.XSHE	阳谷华泰	HY002	材料
342	300127.XSHE	银河磁体	HY002	材料
343	300132.XSHE	青松股份	HY002	材料
344	300135.XSHE	宝利国际	HY002	材料
345	300163.XSHE	先锋新材	HY002	材料
346	300169.XSHE	天晟新材	HY002	材料
347	300174.XSHE	元力股份	HY002	材料
348	300179.XSHE	四方达	HY002	材料
349	300180.XSHE	华峰超纤	HY002	材料
350	300192.XSHE	科斯伍德	HY002	材料
351	300196.XSHE	长海股份	HY002	材料
352	300198.XSHE	纳川股份	HY002	材料
353	300200.XSHE	高盟新材	HY002	材料
354	300214.XSHE	日科化学	HY002	材料
355	300218.XSHE	安利股份	HY002	材料
356	300221.XSHE	银禧科技	HY002	材料
357	300224.XSHE	正海磁材	HY002	材料
358	300225.XSHE	金力泰	HY002	材料
359	300236.XSHE	上海新阳	HY002	材料
360	300243.XSHE	瑞丰高材	HY002	材料
361	300261.XSHE	雅本化学	HY002	材料
362	300285.XSHE	国瓷材料	HY002	材料
363	300305.XSHE	裕兴股份	HY002	材料
364	300320.XSHE	海达股份	HY002	材料
365	300321.XSHE	同大股份	HY002	材料
366	300325.XSHE	德威新材	HY002	材料
367	300328.XSHE	宜安科技	HY002	材料
368	300337.XSHE	银邦股份	HY002	材料
369	300340.XSHE	科恒股份	HY002	材料
370	300387.XSHE	富邦股份	HY002	材料
371	300395.XSHE	菲利华	HY002	材料
372	300398.XSHE	飞凯材料	HY002	材料
373	300405.XSHE	科隆股份	HY002	材料
374	300409.XSHE	道氏技术	HY002	材料
375	300428.XSHE	四通新材	HY002	材料
376	300429.XSHE	强力新材	HY002	材料
377	300437.XSHE	清水源	HY002	材料
378	300446.XSHE	乐凯新材	HY002	材料
379	300478.XSHE	杭州高新	HY002	材料
380	300481.XSHE	濮阳惠成	HY002	材料
381	300487.XSHE	蓝晓科技	HY002	材料
382	300489.XSHE	中飞股份	HY002	材料
383	300501.XSHE	海顺新材	HY002	材料
384	300505.XSHE	川金诺	HY002	材料
385	300522.XSHE	世名科技	HY002	材料
386	300530.XSHE	达志科技	HY002	材料
387	300535.XSHE	达威股份	HY002	材料
388	300537.XSHE	广信材料	HY002	材料
389	300539.XSHE	横河模具	HY002	材料
390	300554.XSHE	三超新材	HY002	材料
391	300568.XSHE	星源材质	HY002	材料
392	300575.XSHE	中旗股份	HY002	材料
393	300576.XSHE	容大感光	HY002	材料
394	300586.XSHE	美联新材	HY002	材料
395	300587.XSHE	天铁股份	HY002	材料
396	300596.XSHE	利安隆	HY002	材料
397	300610.XSHE	晨化股份	HY002	材料
398	300618.XSHE	寒锐钴业	HY002	材料
399	300637.XSHE	扬帆新材	HY002	材料
400	300641.XSHE	正丹股份	HY002	材料
401	300644.XSHE	南京聚隆	HY002	材料
402	300655.XSHE	晶瑞股份	HY002	材料
403	300665.XSHE	飞鹿股份	HY002	材料
404	300684.XSHE	中石科技	HY002	材料
405	300697.XSHE	电工合金	HY002	材料
406	300699.XSHE	光威复材	HY002	材料
407	300700.XSHE	岱勒新材	HY002	材料
408	300715.XSHE	凯伦股份	HY002	材料
409	300716.XSHE	国立科技	HY002	材料
410	300717.XSHE	华信新材	HY002	材料
411	300721.XSHE	怡达股份	HY002	材料
412	300727.XSHE	润禾材料	HY002	材料
413	300731.XSHE	科创新源	HY002	材料
414	300737.XSHE	科顺股份	HY002	材料
415	300748.XSHE	金力永磁	HY002	材料
416	600010.XSHG	包钢股份	HY002	材料
417	600019.XSHG	宝钢股份	HY002	材料
418	600022.XSHG	山东钢铁	HY002	材料
419	600063.XSHG	皖维高新	HY002	材料
420	600069.XSHG	银鸽投资	HY002	材料
421	600075.XSHG	新疆天业	HY002	材料
422	600076.XSHG	康欣新材	HY002	材料
423	600078.XSHG	澄星股份	HY002	材料
424	600091.XSHG	ST明科	HY002	材料
425	600096.XSHG	云天化	HY002	材料
426	600103.XSHG	青山纸业	HY002	材料
427	600110.XSHG	诺德股份	HY002	材料
428	600111.XSHG	北方稀土	HY002	材料
429	600117.XSHG	西宁特钢	HY002	材料
430	600126.XSHG	杭钢股份	HY002	材料
431	600135.XSHG	乐凯胶片	HY002	材料
432	600141.XSHG	兴发集团	HY002	材料
433	600143.XSHG	金发科技	HY002	材料
434	600160.XSHG	巨化股份	HY002	材料
435	600165.XSHG	新日恒力	HY002	材料
436	600172.XSHG	黄河旋风	HY002	材料
437	600176.XSHG	中国巨石	HY002	材料
438	600206.XSHG	有研新材	HY002	材料
439	600207.XSHG	安彩高科	HY002	材料
440	600210.XSHG	紫江企业	HY002	材料
441	600219.XSHG	南山铝业	HY002	材料
442	600226.XSHG	瀚叶股份	HY002	材料
443	600228.XSHG	ST昌九	HY002	材料
444	600230.XSHG	沧州大化	HY002	材料
445	600231.XSHG	凌钢股份	HY002	材料
446	600235.XSHG	民丰特纸	HY002	材料
447	600255.XSHG	梦舟股份	HY002	材料
448	600259.XSHG	广晟有色	HY002	材料
449	600265.XSHG	ST景谷	HY002	材料
450	600273.XSHG	嘉化能源	HY002	材料
451	600277.XSHG	亿利洁能	HY002	材料
452	600281.XSHG	太化股份	HY002	材料
453	600282.XSHG	南钢股份	HY002	材料
454	600301.XSHG	ST南化	HY002	材料
455	600307.XSHG	酒钢宏兴	HY002	材料
456	600308.XSHG	华泰股份	HY002	材料
457	600309.XSHG	万华化学	HY002	材料
458	600311.XSHG	荣华实业	HY002	材料
459	600319.XSHG	亚星化学	HY002	材料
460	600328.XSHG	兰太实业	HY002	材料
461	600330.XSHG	天通股份	HY002	材料
462	600331.XSHG	宏达股份	HY002	材料
463	600338.XSHG	西藏珠峰	HY002	材料
464	600346.XSHG	恒力股份	HY002	材料
465	600352.XSHG	浙江龙盛	HY002	材料
466	600356.XSHG	恒丰纸业	HY002	材料
467	600362.XSHG	江西铜业	HY002	材料
468	600366.XSHG	宁波韵升	HY002	材料
469	600367.XSHG	红星发展	HY002	材料
470	600378.XSHG	天科股份	HY002	材料
471	600389.XSHG	江山股份	HY002	材料
472	600392.XSHG	盛和资源	HY002	材料
473	600399.XSHG	*ST抚钢	HY002	材料
474	600409.XSHG	三友化工	HY002	材料
475	600423.XSHG	*ST柳化	HY002	材料
476	600425.XSHG	青松建化	HY002	材料
477	600426.XSHG	华鲁恒升	HY002	材料
478	600433.XSHG	冠豪高新	HY002	材料
479	600449.XSHG	宁夏建材	HY002	材料
480	600456.XSHG	宝钛股份	HY002	材料
481	600458.XSHG	时代新材	HY002	材料
482	600459.XSHG	贵研铂业	HY002	材料
483	600470.XSHG	六国化工	HY002	材料
484	600486.XSHG	扬农化工	HY002	材料
485	600489.XSHG	中金黄金	HY002	材料
486	600490.XSHG	鹏欣资源	HY002	材料
487	600497.XSHG	驰宏锌锗	HY002	材料
488	600500.XSHG	中化国际	HY002	材料
489	600507.XSHG	方大特钢	HY002	材料
490	600516.XSHG	方大炭素	HY002	材料
491	600527.XSHG	江南高纤	HY002	材料
492	600529.XSHG	山东药玻	HY002	材料
493	600531.XSHG	豫光金铅	HY002	材料
494	600532.XSHG	宏达矿业	HY002	材料
495	600539.XSHG	*ST狮头	HY002	材料
496	600547.XSHG	山东黄金	HY002	材料
497	600549.XSHG	厦门钨业	HY002	材料
498	600558.XSHG	大西洋	HY002	材料
499	600567.XSHG	山鹰纸业	HY002	材料
500	600569.XSHG	安阳钢铁	HY002	材料
501	600581.XSHG	八一钢铁	HY002	材料
502	600585.XSHG	海螺水泥	HY002	材料
503	600586.XSHG	金晶科技	HY002	材料
504	600589.XSHG	广东榕泰	HY002	材料
505	600595.XSHG	中孚实业	HY002	材料
506	600596.XSHG	新安股份	HY002	材料
507	600614.XSHG	鹏起科技	HY002	材料
508	600615.XSHG	丰华股份	HY002	材料
509	600618.XSHG	氯碱化工	HY002	材料
510	600623.XSHG	华谊集团	HY002	材料
511	600636.XSHG	三爱富	HY002	材料
512	600673.XSHG	东阳光科	HY002	材料
513	600678.XSHG	四川金顶	HY002	材料
514	600691.XSHG	阳煤化工	HY002	材料
515	600714.XSHG	金瑞矿业	HY002	材料
516	600720.XSHG	祁连山	HY002	材料
517	600722.XSHG	金牛化工	HY002	材料
518	600725.XSHG	ST云维	HY002	材料
519	600727.XSHG	鲁北化工	HY002	材料
520	600731.XSHG	湖南海利	HY002	材料
521	600746.XSHG	江苏索普	HY002	材料
522	600766.XSHG	园城黄金	HY002	材料
523	600768.XSHG	宁波富邦	HY002	材料
524	600782.XSHG	新钢股份	HY002	材料
525	600793.XSHG	宜宾纸业	HY002	材料
526	600796.XSHG	钱江生化	HY002	材料
527	600801.XSHG	华新水泥	HY002	材料
528	600802.XSHG	福建水泥	HY002	材料
529	600803.XSHG	新奥股份	HY002	材料
530	600808.XSHG	马钢股份	HY002	材料
531	600810.XSHG	神马股份	HY002	材料
532	600819.XSHG	耀皮玻璃	HY002	材料
533	600844.XSHG	丹化科技	HY002	材料
534	600881.XSHG	亚泰集团	HY002	材料
535	600883.XSHG	博闻科技	HY002	材料
536	600884.XSHG	杉杉股份	HY002	材料
537	600888.XSHG	新疆众和	HY002	材料
538	600889.XSHG	南京化纤	HY002	材料
539	600961.XSHG	株冶集团	HY002	材料
540	600963.XSHG	岳阳林纸	HY002	材料
541	600966.XSHG	博汇纸业	HY002	材料
542	600980.XSHG	北矿科技	HY002	材料
543	600985.XSHG	雷鸣科化	HY002	材料
544	600988.XSHG	赤峰黄金	HY002	材料
545	600992.XSHG	贵绳股份	HY002	材料
546	601003.XSHG	柳钢股份	HY002	材料
547	601005.XSHG	重庆钢铁	HY002	材料
548	601020.XSHG	华钰矿业	HY002	材料
549	601028.XSHG	玉龙股份	HY002	材料
550	601069.XSHG	西部黄金	HY002	材料
551	601113.XSHG	华鼎股份	HY002	材料
552	601137.XSHG	博威合金	HY002	材料
553	601168.XSHG	西部矿业	HY002	材料
554	601208.XSHG	东材科技	HY002	材料
555	601212.XSHG	白银有色	HY002	材料
556	601216.XSHG	君正集团	HY002	材料
557	601233.XSHG	桐昆股份	HY002	材料
558	601388.XSHG	怡球资源	HY002	材料
559	601600.XSHG	中国铝业	HY002	材料
560	601636.XSHG	旗滨集团	HY002	材料
561	601677.XSHG	明泰铝业	HY002	材料
562	601678.XSHG	滨化股份	HY002	材料
563	601899.XSHG	紫金矿业	HY002	材料
564	601958.XSHG	金钼股份	HY002	材料
565	601968.XSHG	宝钢包装	HY002	材料
566	601969.XSHG	海南矿业	HY002	材料
567	601992.XSHG	金隅集团	HY002	材料
568	601996.XSHG	丰林集团	HY002	材料
569	603002.XSHG	宏昌电子	HY002	材料
570	603010.XSHG	万盛股份	HY002	材料
571	603021.XSHG	山东华鹏	HY002	材料
572	603022.XSHG	新通联	HY002	材料
573	603026.XSHG	石大胜华	HY002	材料
574	603028.XSHG	赛福天	HY002	材料
575	603033.XSHG	三维股份	HY002	材料
576	603041.XSHG	美思德	HY002	材料
577	603045.XSHG	福达合金	HY002	材料
578	603055.XSHG	台华新材	HY002	材料
579	603067.XSHG	振华股份	HY002	材料
580	603077.XSHG	和邦生物	HY002	材料
581	603078.XSHG	江化微	HY002	材料
582	603086.XSHG	先达股份	HY002	材料
583	603110.XSHG	东方材料	HY002	材料
584	603113.XSHG	金能科技	HY002	材料
585	603165.XSHG	荣晟环保	HY002	材料
586	603181.XSHG	皇马科技	HY002	材料
587	603188.XSHG	ST亚邦	HY002	材料
588	603192.XSHG	汇得科技	HY002	材料
589	603225.XSHG	新凤鸣	HY002	材料
590	603226.XSHG	菲林格尔	HY002	材料
591	603227.XSHG	雪峰科技	HY002	材料
592	603260.XSHG	合盛硅业	HY002	材料
593	603278.XSHG	大业股份	HY002	材料
594	603299.XSHG	井神股份	HY002	材料
595	603330.XSHG	上海天洋	HY002	材料
596	603360.XSHG	百傲化学	HY002	材料
597	603378.XSHG	亚士创能	HY002	材料
598	603499.XSHG	翔港科技	HY002	材料
599	603505.XSHG	金石资源	HY002	材料
600	603527.XSHG	众源新材	HY002	材料
601	603580.XSHG	艾艾精工	HY002	材料
602	603585.XSHG	苏利股份	HY002	材料
603	603599.XSHG	广信股份	HY002	材料
